t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
3.2083,0.14884,1.20548,0.66254,0.15205,1.19033,0.42161,-0.53813,0.06319,0.66706,-0.53565,0.06842,1.00808,0.01922,0.01252,0.21314,-0.00164,0.00413,-0.38830,0.022939,0.241431,1,0,DESCENDING
3.2500,0.12636,1.20771,0.69197,0.12970,1.19297,0.46396,-0.53964,0.05345,0.70624,-0.53684,0.05837,1.02396,0.01914,0.01251,0.19858,-0.00129,0.00482,-0.35691,0.022869,0.228505,1,0,DESCENDING
3.2917,0.10386,1.20953,0.72269,0.10731,1.19519,0.50685,-0.54010,0.04372,0.73734,-0.53784,0.04829,1.03353,0.01905,0.01252,0.18512,-0.00181,0.00516,-0.32729,0.022792,0.216344,1,0,DESCENDING
3.3333,0.08131,1.21094,0.75437,0.08488,1.19699,0.55000,-0.54104,0.03375,0.76042,-0.53865,0.03820,1.03673,0.01897,0.01254,0.17269,-0.00145,0.00552,-0.29938,0.022739,0.204879,1,0,DESCENDING
3.3750,0.05877,1.21190,0.78669,0.06243,1.19838,0.59315,-0.54092,0.02314,0.77558,-0.53927,0.02809,1.03353,0.01889,0.01256,0.16122,-0.00177,0.00566,-0.27311,0.022681,0.194042,1,0,DESCENDING
3.4167,0.03623,1.21246,0.81931,0.03995,1.19933,0.63604,-0.54106,0.01336,0.78292,-0.53970,0.01798,1.02396,0.01883,0.01257,0.15065,-0.00122,0.00517,-0.24838,0.022635,0.183778,1,0,DESCENDING
3.4583,0.01367,1.21260,0.85192,0.01745,1.19987,0.67839,-0.54142,0.00342,0.78262,-0.53994,0.00785,1.00808,0.01878,0.01258,0.14092,-0.00111,0.00551,-0.22516,0.022603,0.174031,1,0,DESCENDING
3.5000,-0.00890,1.21231,0.88420,-0.00504,1.19999,0.71996,-0.54172,-0.00699,0.77485,-0.54000,-0.00227,0.98598,0.01872,0.01261,0.13196,-0.00143,0.00569,-0.20337,0.022568,0.164752,1,0,DESCENDING
3.5417,-0.03147,1.21160,0.91586,-0.02754,1.19968,0.76048,-0.54172,-0.01708,0.75984,-0.53986,-0.01239,0.95781,0.01864,0.01263,0.12373,-0.00186,0.00541,-0.18296,0.022515,0.155894,1,0,DESCENDING
3.5833,-0.05403,1.21048,0.94661,-0.05003,1.19896,0.79969,-0.54127,-0.02691,0.73786,-0.53953,-0.02251,0.92373,0.01856,0.01264,0.11617,-0.00219,0.00543,-0.16389,0.022454,0.147419,1,0,DESCENDING
3.6250,-0.07656,1.20893,0.97616,-0.07250,1.19781,0.83737,-0.54089,-0.03709,0.70918,-0.53901,-0.03263,0.88395,0.01848,0.01267,0.10923,-0.00226,0.00571,-0.14610,0.022401,0.139288,1,0,DESCENDING
3.6667,-0.09905,1.20697,1.00425,-0.09495,1.19624,0.87328,-0.53971,-0.04705,0.67413,-0.53831,-0.04273,0.83873,0.01838,0.01269,0.10288,-0.00258,0.00563,-0.12955,0.022339,0.131468,1,0,DESCENDING
3.7083,-0.12151,1.20460,1.03062,-0.11736,1.19425,0.90720,-0.53907,-0.05697,0.63305,-0.53741,-0.05281,0.78833,0.01831,0.01272,0.09705,-0.00230,0.00576,-0.11421,0.022293,0.123930,1,0,DESCENDING
3.7500,-0.14393,1.20181,1.05505,-0.13973,1.19184,0.93891,-0.53797,-0.06697,0.58633,-0.53633,-0.06288,0.73308,0.01822,0.01276,0.09171,-0.00274,0.00591,-0.10002,0.022240,0.116648,1,0,DESCENDING
3.7917,-0.16628,1.19861,1.07732,-0.16205,1.18901,0.96822,-0.53642,-0.07670,0.53437,-0.53505,-0.07292,0.67330,0.01812,0.01280,0.08683,-0.00292,0.00595,-0.08697,0.022185,0.109600,1,0,DESCENDING
3.8333,-0.18856,1.19497,1.09722,-0.18431,1.18576,0.99496,-0.53474,-0.08739,0.47760,-0.53359,-0.08294,0.60937,0.01803,0.01285,0.08236,-0.00283,0.00624,-0.07500,0.022144,0.102761,1,0,DESCENDING
